"Codigo","Descricao","Dimensao","TemDim"
"S154446","REFRIGERADOR BASE COCÇÃO 3 GAV. INOXIDAVELAL -1900X700X580MM","1900X700X580","True"
"S154448","REFRIGERADOR VERT 2P BI-P INOXIDAVEL-AL 430 - 700X800X2050","700X800X2050","True"
"S154452","ULTRA CONGELADOR DE COPOS","","False"
"S154486","CERVEJEIRA VERT 1P VIDRO -4°C A 5°C-INOXIDAVEL-700X800X2050MM","700X800X2050","True"
"S154487","FREEZER VERTICAL INOXIDÁVEL 1 PORTA VIDRO 700X810X2050MM","700X810X2050","True"
"S154491","CÂMARA DE CONSERVAÇÃO DE VEGETAIS INOX EXT. INOXIDÁVEL INT 1100X800X2050MM","1100X800X2050","True"
"S154493","FREEZER VERTICAL INOXIDÁVEL 2 PORTAS CEGAS 1400X810X2050 MM","1400X810X2050","True"
"S154506","REFRIG. BASE COCÇÃO 6 GAV. CAB. DIR. INOXAL 430 - 1880X700X660mm","1880X700X660","True"
"S154520","PRAT. SOBRE MONT. 3 PLANOS - 1° PLANO P 8GN'S 1_3X100 E 2 P. LISOS C SUPORTE BISNAGA","","False"
"S155002","PASS-THRU REFRIGERADO VERTICAL 02 PORTAS (1 + 1 VIDRO) - 700X850X2050","700X850X2050","True"
"S155020","PASS THRU AQUEC. AR FORÇADO 2PTA CEGA -700X850X2050","700X850X2050","True"
"S155022","PASS THRU AQUEC. AR FORÇADO 1PTA CEGA 1PTA VID-700X850X2050","700X850X2050","True"
"S155039","ESTUFA VERTICAL AQUECIDA INOX 304INOX-700X810X2050 MM","700X810X2050","True"
"S155047","PASS THRU REFRIG 2 PTA CEGA INOXIDAVEL-700X850X2050","700X850X2050","True"
"S155049","PASS THRU REFRIG 1 PTA CEGA 1 PTA VIDRO INOXIDAVEL-700X850X2050","700X850X2050","True"
"S155154","PISTA AQUECIDA SECA PLANA 6 GN - 2170X640X560 MM","2170X640X560","True"
"S155162","MESA AQUECIDA P SAIDA DELIVERY 1500","","False"
"S155163","ESTANTE AQUECIDA 5 PLANOS LISOS 430 - 615X500X1750 MM","615X500X1750","True"
"S155250","CORREBANDEJA TUBULAR 1170X300","1170X300","True"
"S155253","CORRE BANDEJA TUBULAR  2140X300","2140X300","True"
"S156002","CARRO PLATAFORMA 304 900X600X900","900X600X900","True"
"S156006","CARRO TANQUE INOX-304 950X600X900 MM SEM ESTRUTURA 190 L","950X600X900","True"
"S156010","CARRO TERMICO P TRANSPORTE GNS 1203X767X1076","1203X767X1076","True"
"S156013","CARRO TRANS. ESQUEL.304-378X545X1800MM P20 GN11X65","378X545X1800","True"
"S156014","CARRO TRANS. ESQUEL.304-378X545X1800MM P20 GN11X65-SOLDADO","378X545X1800","True"
"S156018","CARRO ESQUELETO P PÃES COM 9 PRATELEIRAS VÃO 195 MM 600X800X1800 MM","600X800X1800","True"
"S156019","BANCADA LISA CENTRO L PRO ROD -500X800X900","500X800X900","True"
"S156020","CARRO PLATAFORMA 900x600x900mm","900x600x900","True"
"S157002","MÓDULO LIQUIDIFICADOR 500","","False"
"S157005","MÓDULO PRATELEIRA 1000","","False"
"S157010","MODULO ESCORREDOR DE COPOS 500","","False"
"S157012","TAMPO DE CANTO COM CUBA","","False"
"S157013","TAMPO DE CANTO LISO","","False"
"S157014","PORTA CONDIMENTOS 2 GNS 19 65MM - 400x150x90","400x150x90","True"
"S157017","SUPORTE PARA GARRAFAS-304 - 1000","","False"
"S157021","MODULO LIXEIRA T. BASC. 500X580X900 MM","500X580X900","True"
"S157031","MODULO PIA INOX 304 1 CB 40x34x14 - 388x458x152 MM","40x34x14","True"
"S157034","MODULO GNS INOX 304 - 194X458X151 MM","194X458X151","True"
