folderPath,fileCount,totalMB,relevanceScore
D:\2022\REDES\ATACADÃO\S206699 - MESA 304 CBD 60X50X40 E 450 ESP LDE PRAT LISA 1900X700X900\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S206698  - MESA ENC 304 CBE 60X50X40 E 450 ESP LDE PRAT LISA\PROJETO\S206698,1,0.02,8
D:\2022\REDES\ATACADÃO\S206697 - MESA ENC  304 CBE 70X60X50 E 550 ESP LDE PRAT LISA 1900X700X900\PROJETO\S206697,1,0.02,8
D:\2022\REDES\ATACADÃO\S206696 - MESA 304 ESP TRAS PRAT LISA 1050X700X900\PROJETO\S206696,1,0.02,8
D:\2022\REDES\ATACADÃO\S206664 - COIFA DE CENTRO C FILTRO E ILUMINAÇÃO - 430 3100X1800X450MM\PROJETO\S206664,1,0.02,8
D:\2022\REDES\ATACADÃO\S206659 - MESA ENC 304 CBE 60X50X33 E 430  PRAT LISA 1900X700X900\PROJETO\S206659,1,0.02,8
D:\2022\REDES\ATACADÃO\S206658 - MESA ENC 304 PRAT LISA ESP LE 1750X700X900\PROJETO\S206658,1,0.02,8
D:\2022\REDES\ATACADÃO\S206657 - MESA ENC 304 CBD 60X50X33 E 390 ELE PRAT LISA 1900X700X900\PROJETO\S206657,1,0.02,8
D:\2022\REDES\ATACADÃO\S205201 - MESA  304 ESP LE PRAT LISA 1850X700X900\PROJETO\S205201,1,0.02,8
D:\2022\REDES\ATACADÃO\S205139 - MESA 304 1 CBD 40X50X30 E 250 ELE PRAT  LISA 1300X700X900\PROJETO\S205139,1,0.02,8
D:\2022\REDES\ATACADÃO\S204800 - MESA 304 ESP LE PRAT LISA 1800XX700X900\PROJETO\S204800,1,0.02,8
D:\2022\REDES\ATACADÃO\S204563 - MESA 304 ESP  LD PRAT LISA 1100X700X900\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S203488 - MESA 3004 ELE PRAT LISA 1200X700X900\PROJETO\S203488,1,0.03,8
D:\2022\REDES\ATACADÃO\S203365 - MESA 304 ENC ESP LE PRAT LISA 1150X700X900\PROJETO\S203365,1,0.02,8
D:\2022\REDES\ATACADÃO\S202994 - BANCADA DE ENCOSTO L PRO  PRAT LISA 304 - 1550X700X900\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S201523 - MESA  304 CX DEC 403X350X430 1  CESTO PERF 580X700X700\PROJETO\S201523,1,0.02,8
D:\2022\REDES\ATACADÃO\S201520 - MESA ENC 304 1CBE 50X40X30X E 300 ELD PRAT LISA 1300X700X900\PROJETO\S201520,1,0.02,8
D:\2022\REDES\ATACADÃO\S200867 - MESA ENC 304 PRAT LISA 1750X700X900\PROJETO\S200867,1,0.02,8
D:\2022\REDES\ATACADÃO\S152211 - BANCADA ENC L PRO PRAT LISA 304 1800X700X900\PROJETO\S152211,1,0.02,8
D:\2022\REDES\ATACADÃO\S206656 -  MESA ENC 304 CBE 60X50X33 E 520 ELD PRAT LISA 1900X700X900\PROJETO\S206656,1,0.02,8
D:\2022\REDES\ATACADÃO\S206655 - MESA ENC 304 CBD 60X50X33 E 520 ELE PRAT LISA 1900X700X900\PROJETO\S206655,1,0.02,8
D:\2022\REDES\ATACADÃO\S206653 - MODULO EXPOSITOR NEUTRO LISO C PROTETOR SALIVAR RETO  650X1060X850 C 1 CORRE BAND\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S206652 - MODULO EXPOSITOR REFRI 3GN 1-1-150 C PROTETOR SALIVAR RETO 1200X1060X1370 C 1 CORRE BAND\PROJETO,1,0.03,8
D:\2022\REDES\ATACADÃO\S206166 - BANCADA ENC ESP LD PRAT LISA 1300X700X900\PROJETO\S206166,1,0.02,8
D:\2022\REDES\ATACADÃO\S206650 - MODULO EXPOSITOR AQUECI 2 GN 1-1 150 C PROTETOR SALIVAR RETO 700X1060X1370 C 1 CORRE BAND\PROJETO\S206650,1,0.03,8
D:\2022\REDES\ATACADÃO\S206651 - MODULO EXPOSITOR AQUECI 4 GN 1-1 150 C PROTETOR SALIVAR RETO 1565X1060X1370 C 1 CORRE BAND\PROJETO,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\VITRINES\S207076 - ESTUFA ALTA AQUECIDA C TAMPO GRANITO 1000X700X1200 MM\PROJETO,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\VITRINES\S207075 - ESTUFA ALTA REFRIGERADA C TAMPO GRANITO 1000X700X1200MM\PROJETO,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\VITRINES\S207141 - ESTUFA REFRIGERADA INOX 1000X700X1200MM COM PORTAS,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\VITRINES\S207140 - ESTUFA REFRIGERADA AUTO SERVIÇO INOX 1000X700X1200MM,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\S207144 - EXPOSITOR ALTO PARA PÃES 500X500X2200MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\CAFETERIA\S207143 - EXPOSITOR ALTO PARA PÃES 1000X500X2200MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\CAFETERIA\S207081-PRATELEIRA SUPERIOR 700X450X200M\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\CAFETERIA\REFRIGERAÇÃO\S207073 - REFRIGERADOR HORIZ ESQ 2P - 1400x700x880MM,1,0.03,8
D:\2022\REDES\ATACADÃO\CAFETERIA\S207133 - APARADOR BASE INOX COM TAMPO GRANITO - 4500x400x1100MM,1,0.02,8
D:\2022\REDES\ATACADÃO\CAFETERIA\MÓDULOS\S207139 - MÓDULO CAIXA EM MDF COM TAMPO DE GRANITO 1100X740X1100 MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\CAFETERIA\MÓDULOS\S207138 - GABINETE DE CANTO MDF C PORTAS E FECHADURA 1000X740X1200MM\PROJETO,1,0.02,8
D:\2022\REDES\MINI KALZONE\S207215 - FREEZER HORIZONTAL CABINE ESQ INOXALUMINIO-3 PORTAS 2000X700X900 MM CABINE REBAIXADA\PROJETO,1,0.03,8
D:\2022\REDES\MINI KALZONE\S207194 - MINI CÂMARA REFRIG. 6 PORTAS BP INOX 304 INT.EXT. 1630X800X2230 MM\PROJETO,1,0.03,8
D:\2022\REDES\MINI KALZONE\S154188 - CABECOTE SUP. ESQ. 08 GNS REFRI. HORIZ 304 - 1500X410X500 MM\PROJETO,1,0.02,8
D:\2022\REDES\MINI KALZONE\S154231 - TAMPO VINC ENC PREFFRZ HZ. CCUBA 50X40X25-ESQ-304-2000 MM\PROJETO,1,0.02,8
D:\2022\REDES\MINI KALZONE\S207195 - VITRINE AQUEC. DE PASSAGEM 2 NÍVEIS INOX 304 1060X570X770 MM\PROJETO,1,0.03,8
D:\2022\REDES\GIRAFFAS\GRF-12 - REFRIGERADOR HOR. 1P 1000X750X1000MM C PASSA PRATOS E SUP. GNS\PROJETO,1,0.02,8
D:\2022\REDES\GIRAFFAS\GRF-13 - CARRO CANTONEIRA 350X500X1700MM\PROJETO,1,0.02,8
